view_id,from,vias,to,maneuver_type,maneuver_modifier,first_lane_from_right,lanes,entry,entry_out,all_number,lat,lon,cases,city_code
8253655510_369469280_242958494_8253655509,8253655510,"369469280,242958494",8253655509,continue,uturn,0,1,4,3,332,1.392146,103.905403,"A-6VLBECHWWFQH,A-6VLCCM2WWFQH,A-6VMIRVRWWEXC,A-6VK747HWWFN5,A-6VLE4PQGWG9K",SIN
8344342569_246612176_5686515371_2507183366_2507183371_8344342568,8344342569,"246612176,5686515371,2507183366,2507183371",8344342568,continue,uturn,0,2,4,1,332,1.306544,103.763448,"A-6VKGS6LWWE28,A-6VLPJGUWWHRO,A-6VL5787GWJUI,A-6VKOFK4GWIUJ,A-6VMTQDQGWI2G",SIN
9360709971_5288162834_2636173664_992571798_5246570485_9360709972,9360709971,"5288162834,2636173664,992571798,5246570485",9360709972,continue,uturn,0,1,4,2,330,1.360409,103.942194,"A-6VM7UWPWWIUJ,A-6VL9X5LG2I2G,A-6VLUAFBWWEJU,A-6VLPJFQWWJDN,A-6VMM6XAGWFN5",SIN
2640729265_2607617061_2607617060,2640729265,2607617061,2607617060,continue,uturn,0,1,3,2,330,1.323354,103.841806,"A-6VO9LQMWWEN7,A-6VKFHC8GWIWG,A-6VL2SD3W2FQH,A-6VLBEUEGWI2G,A-6VI7HC7WWG8A",SIN
3570841452_595220144_4734853588,3570841452,595220144,4734853588,continue,uturn,0,0,3,2,329,1.301724,103.848857,"A-6VLQ42OWWJWN,A-6VKAGHXGWGOV,A-6VL5W7NWWEP2,A-6VMW5X4GWFL6,A-6VK8XOKGWIJ3",SIN
1683121603_1363236253_233902792,1683121603,1363236253,233902792,rotary,uturn,0,0,3,1,329,1.294958,103.859252,"[A-6VMF62BWWE28, A-6VMF62BWWE28],A-6VKLU8CGWG9K,A-6VKE65UGWI2G,A-6VLAPNQGWH2A,A-6VKB4SCWWHIG",SIN
237397876_237397917_6935967619,237397876,237397917,6935967619,continue,uturn,0,1,3,2,328,1.296433,103.804809,"A-6VL8QM6GWFKA,A-6VKCHL7WWIJ3,A-6VKMMF8GWIAI,A-6VM4DPVGWF4B,A-6VN4TVSGWIQQ",SIN
5972342032_3732375159_5963345734,5972342032,3732375159,5963345734,continue,uturn,0,1,3,2,327,1.31251,103.799007,"A-6VLF7UGGWFL6,A-6VMEH5OWWJQ5,A-6VMTWC9WWFF9,A-6VMB867GWJDN,A-6VO8ILGGWFQW",SIN
8178823798_4689530816_4689530817,8178823798,4689530816,4689530817,continue,uturn,0,1,3,2,327,1.366973,103.875526,"A-6VKEPSIWWI2G,A-6VMTXFKGWGW5,A-6VMSO2WWWFF9,A-6VMD6WIGWJDN,A-6VL75I7GWHRO",SIN
1819424622_3930929439_1704192096_7885742919,1819424622,"3930929439,1704192096",7885742919,continue,uturn,0,1,3,2,326,1.299983,103.824674,"A-6VM9DI8WWGJ5,A-6VN469DWWEVJ,A-6VM88H3WWFQH,A-6VLRPQQWWFQH,A-6VLEMR5GWEMR",SIN
